nama_bisnis,kategori,rating,jumlah_ulasan,no_telepon,website,alamat
kopi jotos,Kedai Kopi,4.6,656,6285646411679,0," Jl. Panglima Besar Sudirman No.33, Penganjuran, Panderejo, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68415"
Atap Langit Coffee,Kedai Kopi,4.8,547,,0," Jl. MH.Tamrin, Pengantigan, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68414"
Osing Deles Cafe & Resto,Restoran,4.5,1965,6283852126581,0," Jl. K.H. Agus Salim No.12A, Taman Baru, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68416"
DC Coffee Banyuwangi,Kafe,4.7,39,6282233510362,https://www.instagram.com/tommunity.sudirman?igsh=MWVzb2p5M2E2djhjMg==," Jl. Sritanjung No.8, Temenggungan, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68411"
"Tomoro Coffee and Pastry Sudirman, Banyuwangi",Kafe,4.9,735,6285198185858,https://www.instagram.com/tommunity.sudirman?igsh=MWVzb2p5M2E2djhjMg==," Jl. Panglima Besar Sudirman No.69, Panderejo, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68432"
Dominance Coffee,Kedai Kopi,4.5,213,,0," Jl. Kertanegara No.10 A, Kebalenan, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68417"
Ijen Sky Light,Kedai Kopi,4.9,267,6285158690244,https://kuncikuppi.com/the-philosophy-of-kaizen-at-kuncikuppi-banyuwangi," Pancoran Banjarsari, Glagah, Banyuwangi Regency, East Java 68432, Kabupaten Banyuwangi, Jawa Timur 68454"
Kunci Kuppi - Cafe & Bakehouse,Kedai Kopi,4.9,267,6285158690244,https://kuncikuppi.com/the-philosophy-of-kaizen-at-kuncikuppi-banyuwangi," Pancoran Banjarsari, Glagah, Banyuwangi Regency, East Java 68432, Kabupaten Banyuwangi, Jawa Timur 68454"
Steven Coffee,Kafe,4.9,350,6282244992833,0," Jl. Kolonel Sugiono No.11, Kertosari, Tukangkayu, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68416"
1911 Cafe & Resto,Kafe,4.6,1324,6287782252564,0," PT, Jl. K Muhammad Jl. Perkebunan Kalibendo No.Desa, Dusun Kopencungking, Kp. Anyar, Kec. Glagah, Kabupaten Banyuwangi, Jawa Timur 68454"
Indische 1931 Banyuwangi,Kedai Kopi,4.5,207,6282143914039,0," Q9F7+23P, Simpang, Jl. Singosari, Taman Baru, Banyuwangi Sub-District, Banyuwangi Regency, East Java 68416"
Albirru Coffee and Eatery,Kafe,4.6,573,6282143914039,https://instagram.com/zazito11," Dusun Watu Ulo, Rejosari, Kec. Glagah, Kabupaten Banyuwangi, Jawa Timur"
Zazito Co-Working Cafe,Kedai Kopi,4.9,205,6285335109185,https://instagram.com/zazito11," Jl. Karang Asem Jl. Tunggul Ametung Gg. I No.02, Taman Baru, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68416"
