nama_bisnis,kategori,rating,jumlah_ulasan,no_telepon,website,alamat
3Second Store Banyuwangi,Toko Pakaian,4.5,256,6281225100398,https://3second.co.id/stores/3-second-fs-banyuwangi," Jl. Jenderal Ahmad Yani No.14, Penganjuran, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68416"
Mayang Collection Banyuwangi | Toko Baju dan Gamis Wanita di Banyuwangi,Toko Pakaian Wanita,5.0,191,6282142548391,https://linktr.ee/mayangcollection_official," Jl. Jend. Sudirman No.194, Temenggungan, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68418"
Butik Teman Sehati,Toko Pakaian Wanita,5.0,150,6282111111637,0," Ruko Madania Residence, Jl. Kh. Hasyim Asyari No.100, Dusun Krajan, Genteng Wetan, Kec. Genteng, Kabupaten Banyuwangi, Jawa Timur 68465"
Republik Using Kaos Banyuwangi,Toko Pakaian,4.6,204,6285230328662,0," Gg. Sukorojo 3, Dusun Watu Ulo, Banjarsari, Kec. Glagah, Kabupaten Banyuwangi, Jawa Timur 68432"
"Toko Grosir & Ecer Pakaian ""Noel fashion""",Toko Pakaian,5.0,1,6285771146631,0," Jl. Kertanegara No.2, Kebalenan, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68417"
Ria Busana Banyuwangi,Pusat Perbelanjaan,4.7,85,6289697742754,0," Jl. Jenderal Ahmad Yani No.62-27, Penganjuran, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68416"
Cabang Afkarinashopp,Toko Pakaian Wanita,4.3,3,6289697742754,0," J84F+M8Q, Kemendung, Kumendung, Kec. Muncar, Kabupaten Banyuwangi, Jawa Timur 68472"
OOTDSUPPLY store distro ( Toko Pakaian ),Toko Pakaian,4.9,79,6282331373282,https://linktr.ee/ootdsupplystore," Jl. KH. Wahid Hasyim No.125, Dusun Kopen, Maron, Kec. Genteng, Kabupaten Banyuwangi, Jawa Timur 68468"
nadien collection,Toko Pakaian,5.0,2,6285749923777,0," Jl. KH. Wahid Hasyim No.11, RT.2/RW.1, Penganjuran, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68416"
Yhushop official,Toko Pakaian,4.9,63,6282231000614,https://www.instagram.com/reel/CePy2oVproo/?igshid=YmMyMTA2M2Y=," Griya sobo asri 2 No.blok d10, Tukangkayu, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur"
Joeragan Tas Fashion and More Banyuwangi,Pusat Perbelanjaan,4.9,175,6282132623530,0," Q9WF+5HP, Singotrunan, Lateng, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68414"
Ivaniar butik,Butik,4.9,38,6287733508006,https://instagram.com/ivaniar.id?igshid=YmMyMTA2M2Y=," Perum Citra Pesona Indah 1, Blok Pesona No.1, Kertosari, Kabupaten Banyuwangi, Jawa Timur 68418"
SANET,Butik,4.8,40,6287712992682,https://sanet.co.id/," Jl. Perum, Jl. Taman Sutri Indah No.C 07, Sobo, Banyuwangi Sub-District, Banyuwangi Regency, East Java 68418"
NAINAI ID,Toko Tas,4.4,10,6282345566456,0," Jl. Adi Sucipto No.26, Taman Baru, Tukangkayu, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68416"
Vouk and Co Distro,Toko Pakaian,5.0,11,623332890997,0," Jl. Gajah Mada No.61, Lingkungan Mojoroto R, Penataban, Kec. Giri, Kabupaten Banyuwangi, Jawa Timur 68422"
