nama_bisnis,kategori,rating,jumlah_ulasan,no_telepon,website,alamat
Last Minutes Pool and Bistro,Kafe,4.8,87,6281703567677,https://www.instagram.com/invites/contact/?i=1ewfcjfji7bcb&utm_content=nqat60t," Jl. Gatot Subroto No.26 kavling 3&4, Kampungtengah, Kepatihan, Kec. Kaliwates, Kabupaten Jember, Jawa Timur"
Bourju Pool and Bistro BPB,Tempat Biliar,4.7,133,628978787869,https://linktr.ee/bourjupoolandbistro," KFC, Jl. Gajah Mada No.74 LT.2, Kb. Kidul, Jember Kidul, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68131"
TIGER POOL & BISTRO,Tempat Biliar,4.9,124,6285198893838,0," RMCC+RXP, Kaliwates, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68131"
Eight Pool,Tempat Biliar,4.9,28,6282337655613,https://linktr.ee/tenballbilliard," Perumahan the argopuro No.35, Kaliwates Kidul, Kaliwates, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68131"
Ten Ball Billiard Jember,Klub Biliar,5.0,6,628998101010,https://linktr.ee/tenballbilliard," Jl. Diponegoro No.102 Ruko 3 Lantai, Tembaan, Kepatihan, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68137"
Black Diamond Pool & Cafe,Tempat Biliar,4.6,13,6281216744743,0," Jl. Kaca Piring No.152, Gebang Tengah, Gebang, Kec. Patrang, Kabupaten Jember, Jawa Timur 68117"
Hawk Eye Pool & Cafe Minsitthar,Toko Perlengkapan Biliar,4.2,22,,0," Jl. Panjaitan No.163, Gumuk Kerang, Sumbersari, Kec. Sumbersari, Kabupaten Jember, Jawa Timur 68121"
BS POOL (CAFE & BILLIARD),Tempat Biliar,4.3,26,6282333885541,0," Krajan, Manggisan, Kec. Tanggul, Kabupaten Jember, Jawa Timur 68155"
Break Shot Billiard (Balung),Arena,3.9,7,6285136553788,0," Jl. Ambulu No.6, Wetan Kali, Balung Lor, Kec. Balung, Kabupaten Jember, Jawa Timur 68161"
Mac Billiard,Tempat Biliar,5.0,4,6282233800078,0," Jl. Jayanegara No.10D, Patimura, Jember Kidul, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68131"
TRIPLE BILLIARD,Klub Biliar,5.0,1,6285784113382,https://www.instagram.com/triple.billiard/profilecard/?igsh=MWxtNDVteHpmYm0wcQ==," Jl. Gn. Kerinci Jl. Tidar, Kloncing, Karangrejo, Kec. Sumbersari, Kabupaten Jember, Jawa Timur 68121"
MAYBE CAFE & BILLIARD,Kedai Kopi,4.8,37,6285755841501,0," Jalan Tanggul, Ponjen, Kencong, Jember Regency, East Java"
MACAU BILLIARD & CAFE,Tempat Biliar,4.0,16,6285168640002,0," Jl. Diponegoro, Pattian, Kotakulon, Kec. Bondowoso, Kabupaten Bondowoso, Jawa Timur 68219"
9 Master Pool & Cafe [MPC],Kafe,4.4,5,,0," Jl. Tidar, Kali Oktak, Karangrejo, Kec. Sumbersari, Kabupaten Jember, Jawa Timur 68124"
Putra Billiard Jember,Klub Olahraga,5.0,2,62811301843,0," Jl. Kerta Negara VII No.105, Kelurahan Jember Kidu, Jember Kidul, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68131"
JnC Resto and Pool,Klub Biliar,4.6,114,6282228422284,http://www.jncpool.com/," Jl. Hayam Wuruk No.9, Jati, Kec. Mayangan, Kota Probolinggo, Jawa Timur 67217"
